#d_LiF=201pm
#17/05/22
#2theta count
8.1 2773
8.7 2527
9.2 2110
9.9 2020
10.5    1858
11.0    1755
11.2    1688
11.9    1770
12.5    2436
13.0    2914
13.4    3423
14.0    3813
14.6    5382
15.1    5242
15.5    5392
16.1    6195
16.8    6063
17.2    5917
18.1    6306
19.0    6416
19.8    6810
20.5    6731
21.1    6935
21.9    7254
22.5    6682
23.2    6938
23.8    6399
24.1    2948
24.5    2774
24.9    2934
25.1    2667
25.7    3134
25.9    2930
26.0    2795
26.4    2867
26.5    2771
27.1    2513
27.8    2707
28.1    2353
28.9    2442
29.2    2258
29.9    2131
30.1    1963
30.9    1913
31.2    2038
31.8    1877
32.1    1994
32.5    1908
33.1    1579
34.0    1580
34.6    1663
35.0    1541
35.1    1552
36.1    1504
36.9    1455
37.5    1350
38.1    1326
39.0    1298
39.3    1394
40.0    1445
40.4    1719
40.8    2558
41.2    3503
41.4    3902
41.6    5371
41.8    5518
42.1    3695
42.5    1525
43.1    1260
43.4    1247
44.1    1448
44.6    1574
45.0    2589
45.2    5500
45.8    8237
45.9    8240
46.1    12320
46.5    11248
46.7    11944
47.0    3170
47.2    1659
48.5    1207
50.8    989
53.0    882
54.9    796
56.0    727
57.9    769
60.0    720
63.0    705
68.0    721
71.0    769
73.0    752
75.0    760
78.0    679
81.0    561
83.0    463
85.0    452
86.0    374
87.1    409
87.5    407
88.0    455
88.1    427
88.2    413
89.1    379
90.0    405
