2theta #count
4.7     4210
5.5     2208    2162
6.8     488     501
7.5     373     379
8       330     363
8.8     276     284
9.2     262     239
9.6     254     254
10.3    202     218
11.2    207     214
11.8    197     203     215
12.4    256     241
12.5    254     234     214     
12.9    274     280     265
13.7    259     255
14.2    277     285
15      292     291     262
15.8    289     284     281
16.7    269     263     258
17.4    232     249     223
18.2    246     235     245
18.6    248     234     238
19      219     218     
19.3    280     230     243
20.1    226     249     244
21.4    240     222     206 
21.7    221     245     214
22.2    222     229     246
23.3    231     211     211
24.2    230     204     244
24.6    217     193     214
25.3    212     213     201
26.2    224     240     236
26.5    258     202     237
26.9    218     186     181
28.2    187     208     212
29      202     197     185
29.8    171     186     177
30.6    176     174     196
31.7    174     163     154
33      177     175     170
33.7    179     144     144
34.5    149     146     169
35.3    137     151     141
36.6    136     159     129
36.9    110     137     160
37.7    129     136     145
38.2    138     128     119
39.4    144     115     140
39.8    149     154     137
40.1    172     191     205
40.6    312     295     298
41.1    491     461     467
41.4    445     385     405
42.2    296     291     262
42.6    251     263     287
43.1    276     257     238
43.4    267     249     251
43.8    264     268     263
44.6    292     311     295
44.9    516     502     489
45.4    927     874     905
45.7    1147    1157    1129
46.2    506     633     623
46.6    379     391     398
47      239     235     250
47.4    206     204     202
47.7    192     200     
48.6    181     190     186
49.4    143     177     180
50.2    134     132     154
51.4    125     139     152
52.2    127     126     131
53.1    115     143     118
53.7    138     109     111
54.2    119     108     111
55.8    121     101     107
57.1    108     128     111
57.8    78      108     95
59.2    93      91      91
60.0    116     109     94
61.2    91      86      88
62.4    103     97      71
63.2    93      76      81
63.8    91      98      71
64.7    87      80      85 
65.1    71      88      92
66.3    85      92      79
67.2    108     77      90
68.0    88      82      87
69.2    85      90      91
70      89      85      75      
71.2    91      78      91 
72      91      79      70
73.2    88      77      87
74.5    89      74      98
76.1    88      87      75
77.2    73      77      74
78.1    76      58      76
79.6    58      57      71 
80.8    61      46      49
82.0    52      70      49
82.7    60      64      48
84      63      56      56
85.2    72      69      68
86.4    61      66      62
87.2    61      59      60
88.1    61      53      67
88.5    60      51      54
88.9    60      55      70 
89.3    55      63      58
90.1    40      55      5545.7    1147    1157    1129
46.2    506     633     623
46.6    379     391     398
47      239     235     250
47.4    206     204     202
47.7    192     200     
48.6    181     190     186
49.4    143     177     180
50.2    134     132     154
51.4    125     139     152
52.2    127     126     131
53.1    115     143     118
53.7    138     109     111
54.2    119     108     111
55.8    121     101     107
57.1    108     128     111
57.8    78      108     95
59.2    93      91      91
60.0    116     109     94
61.2    91      86      88
62.4    103     97      71
63.2    93      76      81
63.8    91      98      71
64.7    87      80      85 
65.1    71      88      92
66.3    85      92      79
67.2    108     77      90
68.0    88      82      87
69.2    85      90      91
70      89      85      75      
71.2    91      78      91 
72      91      79      70
73.2    88      77      87
74.5    89      74      98
76.1    88      87      75
77.2    73      77      74
78.1    76      58      76
79.6    58      57      71 
80.8    61      46      49
82.0    52      70      49
82.7    60      64      48
84      63      56      56
85.2    72      69      68
86.4    61      66      62
87.2    61      59      60
88.1    61      53      67
88.5    60      51      54
88.9    60      55      70 
89.3    55      63      58
90.1    40      55      55
