Voltagem(mV)	Campo(mT)
0.138			-0.19	
0.433			-0.58
0.548			-0.72
0.635			-0.80
0.726			-0.92
0.865			-1.13
0.942			-1.20
1.018			-1.29
1.364			-1.73
1.698			-2.16
2.225			-2.85
2.946			-3.84
3.808			-4.95
5.353			-7.02
7.660			-10.16
9.850			-13.15
11.580		-16.10
15.011		-20.1
20.190		-27.5
27.860		-38.1
44.070		-61.0
62.520		-87.0
89.500		-123.6
118.6			-159.9
130.0			-171.9
153.8			-191.6
170.1			-201
182.1			-207
202.0			-215
221.8			-223
242.8			-229
252.8			-232
202.7			-218
169.3			-204
127.1			-175
102.0			-146
71.3			-104
36.0			-55.4
10.0			-18.8
0.147			-4.12
0.2508		-3.37
